chat,ospiti,host,da,testo,onesto
Festa,2,Davide,O1,Ciao!! La casa è stupenda 😍,
,,,O2,Una domanda... possiamo invitare qualche amico stasera? 🥳,
,,,Host,Certo! Quanti sareste? 😊,Assolutamente no l'ultima volta mi hanno distrutto il divano
,,,O1,Pochissimi tranquillo,
,,,O1,Tipo 30,
,,,Host,30?! Il regolamento dice max 6 ospiti 😅,Ma siete completamente impazziti chiamo la polizia subito
,,,O2,Ok ok... e la musica fino a che ora si può tenere?,
,,,Host,Fino alle 22 poi i vicini chiamano i carabinieri 🚔,
,,,O1,Capito 😂 niente festa allora,
,,,Host,Vi consiglio il rooftop qui sotto: aperto fino alle 3 🍸,
,,,O2,Sei il migliore 🙌,
